filename,file_path,true_class,predicted_class,confidence,error_type
44965k438.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/44965k438.graphml,Pipes,Nuts,0.6321203708648682,Pipes → Nuts
exammodelsankuranubhav7.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/exammodelsankuranubhav7.graphml,Pipes,Nuts,0.6399560570716858,Pipes → Nuts
mpraopart2.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/mpraopart2.graphml,Pipes,Bushings,0.8924952149391174,Pipes → Bushings
exammodelsankuranubhav3.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/exammodelsankuranubhav3.graphml,Pipes,Nuts,0.6399561762809753,Pipes → Nuts
mpraopart7.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/mpraopart7.graphml,Pipes,Bushings,0.8214273452758789,Pipes → Bushings
raipipemodel5.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/raipipemodel5.graphml,Pipes,Nuts,0.7898352742195129,Pipes → Nuts
44965k439.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/44965k439.graphml,Pipes,Ironbar,0.5666365027427673,Pipes → Ironbar
raipipemodel7.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/raipipemodel7.graphml,Pipes,Nuts,0.9472392797470093,Pipes → Nuts
exammodelsankuranubhav6.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/exammodelsankuranubhav6.graphml,Pipes,Nuts,0.6399560570716858,Pipes → Nuts
44965k434.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/44965k434.graphml,Pipes,Nuts,0.9518648386001587,Pipes → Nuts
exammodelsankuranubhav2.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/exammodelsankuranubhav2.graphml,Pipes,Nuts,0.6399560570716858,Pipes → Nuts
mpraopart0.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/mpraopart0.graphml,Pipes,Bushings,0.8833383917808533,Pipes → Bushings
exammodelsankuranubhav9.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/exammodelsankuranubhav9.graphml,Pipes,Nuts,0.6399560570716858,Pipes → Nuts
44965k436.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/44965k436.graphml,Pipes,Nuts,0.9022292494773865,Pipes → Nuts
raipipemodel6.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/raipipemodel6.graphml,Pipes,Nuts,0.8813037872314453,Pipes → Nuts
raipipemodel4.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/raipipemodel4.graphml,Pipes,Nuts,0.7360638976097107,Pipes → Nuts
exammodelsankuranubhav1.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/exammodelsankuranubhav1.graphml,Pipes,Nuts,0.6399560570716858,Pipes → Nuts
44965k431.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/44965k431.graphml,Pipes,Nuts,0.934429407119751,Pipes → Nuts
exammodelsankuranubhav4.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/exammodelsankuranubhav4.graphml,Pipes,Nuts,0.6399560570716858,Pipes → Nuts
raipipemodel2.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/raipipemodel2.graphml,Pipes,Nuts,0.5636653304100037,Pipes → Nuts
raipipemodel1.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/raipipemodel1.graphml,Pipes,Nuts,0.5071358680725098,Pipes → Nuts
mpraopart5.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/mpraopart5.graphml,Pipes,Bushings,0.8870264291763306,Pipes → Bushings
exammodelsankuranubhav5.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/exammodelsankuranubhav5.graphml,Pipes,Nuts,0.6399560570716858,Pipes → Nuts
mpraopart6.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/mpraopart6.graphml,Pipes,Bushings,0.8426716327667236,Pipes → Bushings
mpraopart9.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/mpraopart9.graphml,Pipes,Bushings,0.7159610986709595,Pipes → Bushings
raipipemodel3.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/raipipemodel3.graphml,Pipes,Nuts,0.6981064677238464,Pipes → Nuts
exammodelsankuranubhav0.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/exammodelsankuranubhav0.graphml,Pipes,Nuts,0.6399560570716858,Pipes → Nuts
44965k440.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/44965k440.graphml,Pipes,Ironbar,0.6892891526222229,Pipes → Ironbar
mpraopart4.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/mpraopart4.graphml,Pipes,Bushings,0.8926042318344116,Pipes → Bushings
44965k433.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/44965k433.graphml,Pipes,Nuts,0.9666587710380554,Pipes → Nuts
exammodelsankuranubhav8.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/exammodelsankuranubhav8.graphml,Pipes,Nuts,0.6399560570716858,Pipes → Nuts
mpraopart8.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/mpraopart8.graphml,Pipes,Bushings,0.7856050729751587,Pipes → Bushings
mpraopart1.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/mpraopart1.graphml,Pipes,Bushings,0.8889344930648804,Pipes → Bushings
44965k435.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/44965k435.graphml,Pipes,Nuts,0.935206413269043,Pipes → Nuts
raipipemodel0.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/raipipemodel0.graphml,Pipes,Nuts,0.5223287343978882,Pipes → Nuts
44965k432.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/44965k432.graphml,Pipes,Nuts,0.9601015448570251,Pipes → Nuts
mpraopart3.graphml,../../dataset/Split/graph/testing_ood/Pipe_Fittings--pipes/mpraopart3.graphml,Pipes,Bushings,0.8932817578315735,Pipes → Bushings
82a10c03-3c75-479f-bd5d-731dd64b2957.graphml,../../dataset/Split/graph/testing_ood/Holebolts With Shoulders--bolts/82a10c03-3c75-479f-bd5d-731dd64b2957.graphml,Bolts,Nuts,1.0,Bolts → Nuts
a9f67ea8-82d3-4035-82c9-901f4eb5ec73.graphml,../../dataset/Split/graph/testing_ood/Holebolts With Shoulders--bolts/a9f67ea8-82d3-4035-82c9-901f4eb5ec73.graphml,Bolts,Hinges,0.9907241463661194,Bolts → Hinges
9dd7c2bc-27ef-4f4d-aaba-c883060e219b.graphml,../../dataset/Split/graph/testing_ood/Holebolts With Shoulders--bolts/9dd7c2bc-27ef-4f4d-aaba-c883060e219b.graphml,Bolts,Ironbar,0.9998700618743896,Bolts → Ironbar
5a415460-1ad3-448e-9971-103f0998181b.graphml,../../dataset/Split/graph/testing_ood/Holebolts With Shoulders--bolts/5a415460-1ad3-448e-9971-103f0998181b.graphml,Bolts,Hinges,0.9773871302604675,Bolts → Hinges
8a17f051-e710-490a-8ded-b8aee3b6b156.graphml,../../dataset/Split/graph/testing_ood/Holebolts With Shoulders--bolts/8a17f051-e710-490a-8ded-b8aee3b6b156.graphml,Bolts,Hinges,0.8453408479690552,Bolts → Hinges
be0fac89-cddd-469a-a804-904bf28ee601.graphml,../../dataset/Split/graph/testing_ood/Holebolts With Shoulders--bolts/be0fac89-cddd-469a-a804-904bf28ee601.graphml,Bolts,Nuts,0.999671459197998,Bolts → Nuts
d9b30222-5044-4aa4-a3b9-b88e8240a6f1.graphml,../../dataset/Split/graph/testing_ood/Holebolts With Shoulders--bolts/d9b30222-5044-4aa4-a3b9-b88e8240a6f1.graphml,Bolts,Hinges,0.9885404706001282,Bolts → Hinges
0104d35f-dd86-4886-b7a1-60f217f17add.graphml,../../dataset/Split/graph/testing_ood/Holebolts With Shoulders--bolts/0104d35f-dd86-4886-b7a1-60f217f17add.graphml,Bolts,Nuts,1.0,Bolts → Nuts
73e5c6c1-e0a4-4b16-a351-3ce3709f0715.graphml,../../dataset/Split/graph/testing_ood/Holebolts With Shoulders--bolts/73e5c6c1-e0a4-4b16-a351-3ce3709f0715.graphml,Bolts,Nuts,1.0,Bolts → Nuts
88219293-34e7-481d-81f5-af2f5d621ba7.graphml,../../dataset/Split/graph/testing_ood/Holebolts With Shoulders--bolts/88219293-34e7-481d-81f5-af2f5d621ba7.graphml,Bolts,Ironbar,0.8297158479690552,Bolts → Ironbar
4dfd1fd3-29db-458a-a3d6-47be46f89401.graphml,../../dataset/Split/graph/testing_ood/Holebolts With Shoulders--bolts/4dfd1fd3-29db-458a-a3d6-47be46f89401.graphml,Bolts,Ironbar,0.9963629841804504,Bolts → Ironbar
447f7324-1201-4b3e-8818-ff1e8c0dd6a2.graphml,../../dataset/Split/graph/testing_ood/Holebolts With Shoulders--bolts/447f7324-1201-4b3e-8818-ff1e8c0dd6a2.graphml,Bolts,Hinges,0.9929232597351074,Bolts → Hinges
ce3c25e6-8e02-473f-9074-059a80c7fb75.graphml,../../dataset/Split/graph/testing_ood/Holebolts With Shoulders--bolts/ce3c25e6-8e02-473f-9074-059a80c7fb75.graphml,Bolts,Hinges,0.9864307641983032,Bolts → Hinges
db411203-ac1e-49db-82bc-6a446c3079bd.graphml,../../dataset/Split/graph/testing_ood/Holebolts With Shoulders--bolts/db411203-ac1e-49db-82bc-6a446c3079bd.graphml,Bolts,Hinges,0.9902925491333008,Bolts → Hinges
45001c5a-3184-4476-b298-38d7f3174718.graphml,../../dataset/Split/graph/testing_ood/Holebolts With Shoulders--bolts/45001c5a-3184-4476-b298-38d7f3174718.graphml,Bolts,Socket_head_screw,0.5348226428031921,Bolts → Socket_head_screw
